"RegionName","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11"
"Oakland","CA","San Francisco-Oakland-Hayward","Alameda County",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2537.5,2497.5,2600,3060,3099,2975,2995,2972.5,2895,2785,2797.5,2900,3000,2798,2950,2875,2600,2900,2672.5,2500,2625,2747.5,3200,2940,2800,2700,2700,2700,2750,2525
"Honolulu","HI","Urban Honolulu","Honolulu County",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2545,2400,2400,2500,2500,2500,2600,2750,2600,2500,2450,2462.5,2500,2525,2700,2500,2500,2500,2487,2300,2300,2500,2500,2500,2500,2600,2650,2495,2400,2400,2500,2400,2600,2800
"Cleveland","OH","Cleveland-Elyria","Cuyahoga County",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825,775,775,762.5,850,850,800,825,800,725,775,710,722.5,795,837.5,850,875,800,800,875,885,995,937,900,925,937.5,950,900,850,850,850,850,900,900
"New Orleans","LA","New Orleans-Metairie","Orleans Parish",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1650,1725,1950,2037.5,1850,1772.5,1750,1700,1650,1650,1750,1749.5,1800,1600,1650,1700,1625,1550,1550,1500,1500,1500,1575,1500,1600,1695,1695,1725,1600,1600,1600,1625,1500,1500
"Wichita","KS","Wichita","Sedgwick County",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195,1100,1185,1150,1099,1095,1095,1097.5,1202.5,1200,1210,1175,1140,1250,1300,1300,1200
"Anchorage","AK","Anchorage","Anchorage Borough",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1575,1525,1600,1750,1695,1700,1595,1500,1475,1600,1595,1695,1650,1600,1600,1600,1772.5,1800,1862.5,1800,1800,1775,1700,1625,1695,1750,1800,1750,1700,1800,1800,1800,1850,1862.5
"Plano","TX","Dallas-Fort Worth-Arlington","Collin County",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2497.5,2550,2500,2500,2499.5,2600,2500,2495,2495,2550,2525,2497.5,2495,2492.5,2495,2600,2747.5,2745,2612.5,2674.5,2525,2497.5,2500,2500,2650,2700,2762.5,2700,2595,2595,2750,2725,2537.5,2825,2850
"Henderson","NV","Las Vegas-Henderson-Paradise","Clark County",28,,,,,,,2297.5,2200,2200,2125,2195,2200,2100,2200,2200,2300,2100,2097.5,2050,2050,1900,1995,2050,2099,2200,2050,2000,2100,2025,2200,2200,2200,2195,2100,2195,2150,2100,2100,2029,2000,2037.5,2000,1997.5,2000,2000,1995,1950,2195,1997.5,2297,2100,2197.5,2395,2300,2400,2207.5,2247.5,2100,2000,2095,2095,2005,2112.5,2200,2100,2315,2250,2391,2100,2295,2400,2095,2195,2246,2295,2395,2340,2400,2347.5,2250,2197.5,2200,2275,2195,2250,2250,2295,2495,2350,2390,2447.5,2372.5,2395,2400,2485,2500,2461.5,2387.5,2475,2650,2695,2685,2500,2650,2700,2500,2400
"Buffalo","NY","Buffalo-Cheektowaga-Niagara Falls","Erie County",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,700,650,750,762.5,772.5,795,750,775,837.5,800,772.5,750,775,800,800,800,800,800,800,900,900,985,900,1050,975,850,887.5,850,900,895,900,950,950,912.5,975,1000,925,962.5,950,950,927.5,950,950,1000,1050,1050,1050,1000,977.5,980,950,900,850,900,950,975,1050,1025,1000,995,1000,1000,950,900
"Lawrenceville","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860,1860,1972.5,1895,1895,1870,1885,1903.5,1872.5,1800,1900,1945,1934,1897.5,1934,1985,1995,2033,1999,1999,1900,2000,2000
"Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange County",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4999,5200,5200,5000,5000,5100,5000,5250,5250,5500,5500,5890,5862.5,6050,6100,5875,5425,5500,5500,5450,5800,5800,5850,5700,5500,5500,5925,6000,5500,6200,6000,6050,6100,6380,6500
"Chesapeake","VA","Virginia Beach-Norfolk-Newport News","Chesapeake City",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2497.5,2497.5,2495,2400,2295,2295,2275,2225,2362.5,2375,2400,2400,2400,2445,2495,2500,2500,2500,2550
"Rochester","NY","Rochester","Monroe County",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1262.5,1250,1087.5,1100,1060,997.5,1000,995,1025,1200,1200,1220,1200,1172.5,1047.5,1100,1075,1100
"Yonkers","NY","New York-Newark-Jersey City","Westchester County",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2249.5,2125,2350,2300,2375,2500,2425,2425,2500,2400,2300,2300,2300,2300,2300,2400,2400,2400,2200,2200,2200,2200,2183.5,2200,2300,2300,2400,2400,2400,2283,2400,2400,2400
"Providence","RI","Providence-Warwick","Providence County",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2112.5,2225,2112.5,2125,2047.5,2212.5,1875,1800,2100,2250,2400,2300,2225,2400,2400,2350,2162.5,2200,2050,1800,1975,2162.5,2200
"Sugar Land","TX","Houston-The Woodlands-Sugar Land","Fort Bend County",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2950,2825,2750,2750,2865,2875,2900,2800,2800,2800,2800,2800,2800,2850,2672.5,2625,2795,3100,3200,3000,3000,2875,2950,2800,2800,2650,2650,2725,2925,2900,2800,2950,2975,3000,2925
