address,price,details
Edison+|+100+Long+Beach+Blvd,"$2,010+ ","Studio$2,260+ 1 bd$2,905+ 2 bds "
440+Orange+Avenue+|+440+Orange+Ave,"$1,495 1"," bd$1,795 2 bds "
315+Gladys+Ave+APT+2,"$1,895/m",2 bds 1 ba 900 sqft
1+bed,"$1,550/m",1 bd1 ba -- sqft
3428+E+1st+Street+|+3428+E+1st+St,"$1,950 1"," bd$2,550 2 bds "
1151+Walnut+Ave+APT+30,"$1,600/m",2 bds 1 ba 665 sqft
827+Temple+Ave,"$3,100/m","3 bds 2 ba 1,150 sqft"
4027+E+3rd+St,"$1,495 1"," bd$1,565 2 bds "
3826+E+1st+Street+D+#+3826D,"$1,295/m",Studio1 ba -- sqft
141+Park+Ave,"$4,395/m","3 bds 1.5 ba 1,925 sqft"
1739+E+Broadway+#+10,"$2,300/m",2 bds 2 ba 986 sqft
5206+Marina+Pacifica+Dr+S,"$2,795+ ","1 bd$3,100+ 2 bds $4,000 3 bds "
1203+E+Florida+St,"$1,225+ ",Studio
3617+E+4th+St+APT+3,"$1,625/m",1 bd1 ba 550 sqft
670+Quincy+Ave,"$2,175/m","2 bds 1.5 ba 1,200 sqft"
901+Linden+Ave+APT+3,"$1,495/m",1 bd1 ba 581 sqft
850+E+Ocean+Blvd,"$2,695 1"," bd$4,000+ 2 bds $6,000 3 bds "
5585+E+Pacific+Coast+Hwy,"$1,450 S","tudio$1,595 1 bd"
927+Gladys+Ave,"$1,300/m",1 bd1 ba -- sqft
402+E+1st+St+UNIT+202,"$2,100/m",1 bd1 ba 800 sqft
677+Ultimo+Ave,"$3,495/m","2 bds 1.5 ba 1,600 sqft"
577+Walnut+Ave+APT+B,"$1,225/m",Studio1 ba 375 sqft
1+bed,"$1,300/m",1 bd1 ba 574 sqft
354+Hermosa+Ave+#+4,"$1,650/m",1 bd1 ba -- sqft
4874+E+Los+Coyotes+Diagonal+|+4874+E+Los+Coyotes+Diagonal,"$2,050+ ",2 bds 
2357+Magnolia+Ave,"$2,800/m","3 bds 2 ba 1,100 sqft"
1135+Raymond+Ave+APT+03,"$1,695/m",2 bds 1 ba -- sqft
1724+Obispo+Ave+APT+2,"$1,625/m",1 bd1 ba 600 sqft
641+E+Carson+St+APT+4,"$1,395/m",Studio1 ba 400 sqft
Cozy+Studio+Near+Downtown+with+Gated+Entry!+|+943+Lime+Ave,"$1,225+ ",Studio
342+1/2+E+7th+St+#+6269127,"$1,595/m",1 bd1 ba 650 sqft
679+Obispo+Avenue+|+679+Obispo+Ave,"$1,425+ ",1 bd
1617+E+Appleton+St+APT+5,"$1,295/m",1 bd1 ba -- sqft
5230+Long+Beach+Blvd+APT+11,"$1,435/m",1 bd1 ba 600 sqft
701+Linden+Avenue+|+701+Linden+Ave,"$1,250+ ",Studio
129+Bennett+Avenue+|+129+Bennett+Ave,"$1,700+ ","1 bd$2,100 2 bds "
5419+E+The+Toledo,"$2,250/m",2 bds 1 ba 800 sqft
1088+Alamitos+Ave+APT+X,"$1,375/m",1 bd1 ba 550 sqft
645+Chestnut+Ave+APT+208,"$1,899/m",2 bds 2 ba 877 sqft
821+Olive+Ave,"$1,600/m",2 bds 1 ba -- sqft
2133+Chestnut+Ave+APT+6,"$1,295/m",1 bd1 ba 650 sqft
814+Dawson+Ave,"$1,900/m",1 bd1 ba 825 sqft
250+Elm+Ave,"$1,500+ ","1 bd$2,100 2 bds "
3631+Walnut+Ave,"$3,350/m","2 bds 2 ba 1,558 sqft"
2307+E+10th+St+APT+3,"$1,695/m",2 bds 2 ba -- sqft
4805+E+Ocean+Blvd,"$2,900/m","1 bd1 ba 1,015 sqft"
1017+Pacific+Ave+APT+7,"$1,050/m",1 bd1 ba -- sqft
722+Termino+Ave+APT+3,"$1,895/m",2 bds 2 ba 950 sqft
4766+E+Malta+St+#+4766,"$1,975/m",2 bds 2 ba -- sqft
124+Bonito+Ave,"$1,950/m",2 bds 1 ba 950 sqft
325+Elm+Ave+APT+203,"$1,600/m",1 bd1 ba 460 sqft
312+Gladys+Ave+APT+2,"$1,995/m",2 bds 2 ba 900 sqft
1024+Hoffman+Ave+APT+C,"$1,895/m",3 bds 1 ba 800 sqft
30+W+49th+Street+|+30+W+49th+St,"$1,550 1"," bd$1,710 2 bds "
1+bed,"$1,200/m",1 bd1 ba -- sqft
1135+E+12th+Street+|+1135+E+12th+St,"$1,300+ ",Studio
4595+California+Ave+UNIT+405,"$2,175/m",2 bds 2 ba 972 sqft
1081+Stanley+Ave,"$1,795/m",2 bds 2 ba 800 sqft
4206+E+Jacinto+Way+Garage+#+4,"$1,495/m",1 bd1 ba 600 sqft
2+bed,"$2,095/m",2 bds 1 ba 768 sqft
Genesis+Condominiums+|+550+Orange+Ave,"$2,150 1"," bd$1,995+ 2 bds "
1436+Obispo+Avenue+|+1436+Obispo+Ave,"$1,695+ ",2 bds 
1027+Orizaba+Ave+APT+1,"$1,795/m",2 bds 2 ba 900 sqft
3659+Locust+Ave,"$2,750/m","3 bds 2 ba 1,392 sqft"
1100+E+San+Antonio+Dr+APT+B,"$1,595/m",1 bd1 ba -- sqft
1+bed,"$1,575/m",1 bd1 ba 500 sqft
2141+Chestnut+Ave+APT+4,"$1,175/m",Studio1 ba 500 sqft
Bayside+Apartments+|+54+62nd+Pl,"$2,250+ ",2 bds 
720+W+4th+St+UNIT+401,"$3,000/m","3 bds 2 ba 1,072 sqft"
8391+E+Blithedale+St,"$2,895/m","4 bds 2 ba 1,600 sqft"
234+Elm+Ave+APT+1,"$1,950/m",1 bd1 ba 800 sqft
1129+E+Ocean+Blvd+|+1129+E+Ocean+Blvd,"$1,695 1"," bd$1,995 2 bds "
32+Argonne+Avenue+|+32+Argonne+Ave,"$1,695 S","tudio$1,895 1 bd"
627+W+3rd+St+APT+2,"$1,400/m",1 bd1 ba 600 sqft
Bay+Hill+|+3801+E+Pacific+Coast+Hwy,"$2,150+ ",1 bd
1823+E+Appleton+St+APT+11,"$1,300/m",Studio1 ba 417 sqft
2907+E+Spaulding+St+APT+207,"$1,400/m",1 bd1 ba 560 sqft
14+62nd+Pl,"$2,400/m",1 bd1 ba 642 sqft
1900+E+7th+St+APT+3,"$1,295/m",Studio1 ba -- sqft
5+69th+Pl,"$4,555/m","2 bds 3 ba 1,800 sqft"
429+W+8th+St+APT+10,"$1,425/m",1 bd1 ba 550 sqft
340+Wisconsin+Ave+APT+1,"$2,495/m",3 bds 2 ba 900 sqft
336+Obispo+Ave+#+336,"$1,995/m","2 bds 1 ba 1,000 sqft"
4428+E+6th+St+APT+A,"$2,195/m",2 bds 1 ba 650 sqft
1575+Chestnut+Ave+APT+08,"$1,650/m",2 bds 1 ba -- sqft
442+Newport+Ave+APT+8,"$1,895/m",2 bds 1 ba 800 sqft
535+E+Adams+St,"$1,450/m",1 bd1 ba 700 sqft
2244+E+6th+Street+|+2244+E+6th+St,"$2,345 2"," bds $3,179 3 bds "
1200+1210+1220+1240+1260+E+52nd+Street+|+1200+1210+1220+1240+1260+E+52nd+St,"$1,595 2"," bds $2,400 3 bds "
345+Chestnut+Ave+APT+C,$895/moS,Studio1 ba 280 sqft
1327+E+Appleton+St+APT+10,"$1,350/m",Studio1 ba 547 sqft
2037+Cedar+Ave,"$2,295/m","2 bds 1 ba 1,225 sqft"
726+Maine+Ave+APT+3,"$1,895/m",2 bds 1 ba 800 sqft
43+Coronado+Ave,"$3,350/m","3 bds 2 ba 1,750 sqft"
1049+E+5th+St,"$1,595+ ",1 bd
1035+E+Broadway,"$1,350/m",Studio1 ba -- sqft
208+Park+Ave+APT+2,"$1,750/m",1 bd1 ba -- sqft
173+Roycroft+Ave+APT+4,"$1,850/m",1 bd1 ba 750 sqft
746+Daisy+Ave+APT+3,"$1,295/m",1 bd1 ba 600 sqft
52+Bennett+Ave+APT+4,"$1,825/m",1 bd1 ba 750 sqft
211+Grand+Ave,"$2,100+ ",2 bds 
1325+E+7th+St+APT+6,"$1,395/m",1 bd1 ba 750 sqft
2415+E+6th+St+APT+9,"$1,695/m",1 bd1 ba 775 sqft
510+E+Pleasant+St+APT+1,"$1,595/m",2 bds 1 ba 800 sqft
1167+E+10th+St+APT+B,"$1,450/m",1 bd1 ba -- sqft
220+Argonne+Ave+APT+3,"$2,395/m",1 bd1 ba 650 sqft
936+Cedar+Avenue+|+936+Cedar+Ave,"$1,395+ ","Studio$1,595+ 1 bd$1,995 2 bds "
2541+E+14th+St,"$2,600/m",3 bds 1 ba 800 sqft
Channel+Point+|+5926+Bixby+Village+Dr,"$2,380+ ","1 bd$2,820+ 2 bds "
1106+Locust+Ave+APT+209,"$1,450/m",1 bd1 ba 650 sqft
28+Park+Ave+#+DOWNSTAIRS,"$2,985/m","3 bds 1 ba 1,270 sqft"
The+Gatsby+Apartments+|+527+E+1st+St,"$1,275+ ","Studio$1,500 1 bd"
Studio+Apt+1+by+Beach,"$1,350/m",Studio1 ba 390 sqft
2729+E+7th+St,"$1,600/m",1 bd1 ba 500 sqft
N+Lakewood+Blvd,"$1,500/m",1 bd1 ba 600 sqft
1748+Grand+Ave+UNIT+8,"$3,000/m","2 bds 2.5 ba 1,260 sqft"
1408+Argonne+Ave,"$1,500/m",Studio1 ba 500 sqft
1821+E+5th+St+APT+10,"$2,095/m","2 bds 1 ba 1,000 sqft"
2690+Daisy+Ave+#+HOUSE,"$3,600/m",3 bds 2 ba -- sqft
2450+Cedar+Ave+APT+07,"$1,250/m",1 bd1 ba -- sqft
210+E+56th+St+APT+G,"$1,600/m",1 bd1 ba -- sqft
7209+E+Stearns+St,"$3,495/m","4 bds 2 ba 1,469 sqft"
E+Appleton+St,"$2,100/m",2 bds 1 ba 862 sqft
1108+Molino+Ave+APT+2,"$1,695/m",2 bds 2 ba -- sqft
2312+Santa+Fe+Ave+APT+06,"$1,395/m",1 bd1 ba -- sqft
1335+Stanley+Ave+APT+4,"$1,495/m",1 bd1 ba 600 sqft
430+Burlington+Ct+UNIT+101,"$3,500/m","3 bds 2.5 ba 2,120 sqft"
6102+Marina+Pacifica+Dr+S,"$2,250/m",1 bd1 ba 787 sqft
521+Olive+Ave,"$2,150/m","2 bds 2 ba 1,175 sqft"
430+Ohio+Ave+APT+D,"$2,400/m","2 bds 2 ba 1,100 sqft"
1133+Gladys+Avenue+#+First+Floor,"$1,750/m",2 bds 1 ba -- sqft
11+S+Termino+Ave+APT+305,"$2,995/m","3 bds 2 ba 1,350 sqft"
430+Pacific+Avenue+|+430+Pacific+Ave,"$1,275+ ",Studio
3626+E+Colorado+St,"$1,825/m",1 bd1 ba 700 sqft
2014+Chestnut+Ave+APT+02,"$1,295/m",Studio1 ba -- sqft
3622+E+11th+St+APT+02,"$1,475/m",1 bd1 ba 496 sqft
1441+E+3rd+St+APT+3,"$1,995/m",2 bds 2 ba 750 sqft
71+Lime+Ave+#+0,"$1,695/m",1 bd1 ba 600 sqft
231+E+Hullett+St+#+231+E,"$2,395/m",3 bds 2 ba -- sqft
800+Linden+Ave+APT+34,"$1,495/m",1 bd1 ba -- sqft
The+Landing+at+Long+Beach+|+1613+Ximeno+Ave,"$1,970+ ","1 bd$2,520+ 2 bds "
5501+Lewis+Ave,"$2,800/m","4 bds 2 ba 1,778 sqft"
570+E+Pleasant+St+APT+9,"$1,595/m",2 bds 1 ba -- sqft
811+Gardenia+Ave+APT+6,"$2,495/m",3 bds 1 ba 900 sqft
1061+E+Broadway+APT+7,"$1,600/m",1 bd1 ba 800 sqft
1162+E+3rd+St+APT+3,"$1,395/m",Studio1 ba 400 sqft
1449+Chestnut+Ave,"$1,425 1"," bd$1,800 2 bds "
840+Junipero+Ave,"$2,950/m","2 bds 1 ba 1,000 sqft"
1626+Pacific+Av,"$1,100/m",1 bd1 ba 369 sqft
1054+Olive+Ave,"$2,200/m","3 bds 1 ba 1,298 sqft"
E+7th+St,"$1,600/m",1 bd1 ba 950 sqft
1020+Redondo+Ave,"$1,900/m","2 bds 2 ba 1,000 sqft"
6524+Orange+Avenue+|+6524+Orange+Ave,"$1,495+ ",2 bds 
2522+E+15th+St,"$1,400/m",2 bds 1 ba 789 sqft
1431+Obispo+Ave,"$1,750+ ",2 bds 
3925+E+3rd+St,"$2,650/m",2 bds 1 ba 900 sqft
1104+E+San+Antonio+Dr+#+1104+C,"$1,595/m",1 bd1 ba -- sqft
1146+Magnolia+Ave+APT+7,"$1,395/m",1 bd1 ba 650 sqft
634+W+5th+St,"$1,750+ ",2 bds 
737+W+5th+St+APT+12,"$1,650/m",2 bds 1 ba -- sqft
