address,price,details
2420+Granada+Ave,"$739,000","3 bds 2 ba 1,730 sqft"
4701+Walnut+Ave,"$639,900","3 bds 2 ba 1,634 sqft"
1534+Grand+Ave,"$1,250,000","5 bds 5 ba 3,537 sqft"
3595+Santa+Fe+Ave+SPC+142,"$480,000","3 bds 2 ba 1,600 sqft"
3695+Linden+Ave+UNIT+7C,"$370,000",1 bd1 ba 940 sqft
360+W+Ocean+Blvd+APT+1103,"$320,000",1 bd1 ba 472 sqft
3653+Denver+Ave,"$484,900","4 bds 2 ba 1,181 sqft"
227+Ximeno+Ave,"$1,199,000","2 bds 2 ba 1,814 sqft"
66+Sicilian+Walk,"$2,200,000","3 bds 3 ba 3,646 sqft"
3751+Cedar+Ave,"$1,135,000","3 bds 3 ba 2,643 sqft"
1164+E+Ocean+Blvd,"$535,992",1 bd1 ba 902 sqft
3346+Gale+Ave,"Est. $308,619",2 bds 1.5 ba 791 sqft
5828+Lime+Ave,"$549,999","3 bds 2 ba 1,292 sqft"
6296+E+Marina+View+Dr+#+329,"$219,500","2 bds 2 ba 1,344 sqft"
8316+Marina+Pacifica+Dr+N,"$829,000","3 bds 2 ba 1,777 sqft"
17+61st+Pl,"$1,850,000","4 bds 4 ba 2,699 sqft"
5585+E+Pacific+Coast+Hwy+UNIT+311,"$365,000",2 bds 2 ba 913 sqft
5401+E+Anaheim+Rd,"$10,150,000","2 bds 2 ba 21,724 sqft"
746+N+Virginia+Ct,"$320,000",1 bd1 ba 640 sqft
6436+E+Fairbrook+St,$--,"5 bds 2 ba 1,747 sqft"
5364+Cedar+Ave,"$460,000","3 bds 2 ba 1,158 sqft"
1934+And+1936+Locust+Ave,"$426,852","3 bds 2 ba 1,408 sqft"
62+62nd+Pl,"$1,599,000","3 bds 4 ba 2,196 sqft"
110+Belmont+Ave,"$1,069,000","3 bds 2 ba 2,048 sqft"
775+Havana+Ave,"$1,200,000","3 bds 2 ba 1,883 sqft"
121+Belmont+Ave,"$1,795,000","4 bds 3 ba 2,808 sqft"
5729+Avenida+Estoril+Cir,"$1,060,000","3 bds 3 ba 2,487 sqft"
6086+Lido+Ln,"$4,595,000","4 bds 4 ba 3,970 sqft"
1430+E+17th+St,"$929,900","9 bds 6 ba 3,561 sqft"
44+Rivo+Alto+Canal,"$2,249,000","4 bds 3 ba 2,271 sqft"
1+62nd+Pl+UNIT+303,"$684,000","2 bds 2 ba 1,207 sqft"
387+Manila+Ave,"$1,099,000","3 bds 3 ba 1,692 sqft"
388+E+Ocean+Blvd+UNIT+1211,"$388,000",1 bd1 ba 680 sqft
3833+E+2nd+St+UNIT+105,"$469,999","1 bd2 ba 1,008 sqft"
100+Atlantic+Ave+APT+601,"$405,900",2 bds 1 ba 820 sqft
1000+E+Ocean+Blvd+UNIT+715,"$998,800","3 bds 2 ba 1,952 sqft"
215+Granada+Ave,"$959,000","2 bds 2 ba 1,145 sqft"
6507+E+Seaside+Walk,"$3,495,000","3 bds 4 ba 3,356 sqft"
215+Rivo+Alto+Canal,"$3,975,000","4 bds 6 ba 4,800 sqft"
5356+Olive+Ave,"$490,051","3 bds 2 ba 1,074 sqft"
2981+Eucalyptus+Ave,$--,"4 bds 3 ba 2,478 sqft"
7105+Marina+Pacifica+Dr+S,"$474,900",1 bd1 ba 926 sqft
3811+E+Livingston+Dr+APT+102,"$749,900","3 bds 3 ba 1,327 sqft"
835+Locust+Ave+UNIT+612,"$689,000","2 bds 1 ba 1,702 sqft"
335+Cedar+Ave+UNIT+409,"$375,000",2 bds 2 ba 869 sqft
4167+N+Greenbrier+Rd,"$1,099,900","4 bds 3 ba 2,331 sqft"
685+Mira+Mar+Ave,"$1,095,000","6 bds 4 ba 2,624 sqft"
6150+E+Bay+Shore+Walk+APT+301,"$749,000",2 bds 2 ba 961 sqft
5535+Ackerfield+Ave+UNIT+26,"$369,000","3 bds 2 ba 1,069 sqft"
3835+Elm+Ave,"Est. $2,259,208","6 bds 6 ba 6,200 sqft"
6620+E+Ocean+Blvd,"$1,799,000","5 bds 3 ba 3,400 sqft"
208+Nieto+Ave,"$1,049,900","2 bds 2 ba 1,140 sqft"
2601+E+Ocean+Blvd+UNIT+110,"$469,000",1 bd1 ba 672 sqft
2234+E+Spaulding+St,"$800,000","6 bds 3 ba 1,825 sqft"
3595+Santa+Fe+Ave+#12,"$359,000","2 bds 2 ba 1,900 sqft"
1071+E+Chanda+Ct,"Est. $478,870","3 bds 2.5 ba 1,082 sqft"
1090+Martin+Luther+King+Jr+Ave,"$668,000","3 bds 3 ba 1,584 sqft"
3537+Falcon+Ave,"$687,038","4 bds 2 ba 1,636 sqft"
4833+Blackthorne+Ave,"$646,638","3 bds 2 ba 1,091 sqft"
488+E+Ocean+Blvd+UNIT+418,"$538,000",2 bds 2 ba 960 sqft
6475+Atlantic+Ave+SPC+274,"$80,000",3 bds 1 ba -- sqft
6263+E+Golden+Sands+Dr,"$187,000","2 bds 2 ba 1,344 sqft"
2100+Earl+Ave,"$1,300,000","9 bds 8 ba 3,620 sqft"
1901+E+Ocean+Blvd+UNIT+206,"$685,000","2 bds 3 ba 1,544 sqft"
700+E+Ocean+Blvd+UNIT+2602,"$645,995","2 bds 2 ba 1,080 sqft"
3595+Santa+Fe+Ave+SPC+85,"$509,000","4 bds 2 ba 1,600 sqft"
3738+Albury+Ave,"$595,797",2 bds 1 ba 808 sqft
1400+E+Ocean+Blvd+UNIT+1305,"$1,345,000","3 bds 2 ba 1,259 sqft"
1701+E+1st+St,"$1,380,000","6 bds 4 ba 2,744 sqft"
6932+E+El+Roble+St,"Est. $710,926","3 bds 2 ba 1,039 sqft"
3913+N+Virginia+Rd+UNIT+107,"$498,000","2 bds 2 ba 1,070 sqft"
323+W+4th+St+APT+406,"$219,500",Studio1 ba 370 sqft
1140+E+Ocean+Blvd+UNIT+233,"$489,000",1 bd1 ba 732 sqft
6237+Beachcomber+Dr+#+109,"$225,000","2 bds 2 ba 1,200 sqft"
138+Rivo+Alto+Canal,"$1,995,000","2 bds 2 ba 1,738 sqft"
1480+Martin+Luther+King+Jr+Ave,"$469,990",2 bds 1 ba 960 sqft
7101+Eastondale+Ave,"$585,000","5 bds 3 ba 1,875 sqft"
21+7th+Pl+APT+408,"$725,000","2 bds 2 ba 1,355 sqft"
4553+N+Deal+Dr,"Est. $520,807","3 bds 1 ba 1,133 sqft"
4113+E+10th+St+APT+3,"Est. $349,546",2 bds 2 ba 740 sqft
2828+Ladoga+Ave,$--,"2 bds 1 ba 1,150 sqft"
2322+Roswell+Ave,"$819,999","3 bds 3 ba 2,057 sqft"
835+Locust+Ave+UNIT+410,"$554,000",1 bd1 ba 989 sqft
6216+E+Emerald+Cove+Dr+#+47,"$189,000","2 bds 2 ba 1,120 sqft"
436+N+Bellflower+Blvd+UNIT+204,"$375,000",1 bd1 ba 693 sqft
2910+De+Forest+Ave,"$649,999","3 bds 2 ba 1,473 sqft"
1052+E+Andrews+Dr,"Est. $1,061,771","3 bds 3 ba 3,341 sqft"
800+E+Ocean+Blvd+UNIT+709,"$460,000",1 bd1 ba 872 sqft
6300+Riviera+Cir,"$725,000","3 bds 2 ba 1,715 sqft"
9+Rivo+Alto+Canal,"$2,549,000","3 bds 3 ba 2,184 sqft"
535+E+14th+St,"$850,000","4 bds 2 ba 2,291 sqft"
6109+Lime+Ave,"$575,000","2 bds 2 ba 1,504 sqft"
5640+Azure+Way,"$1,399,000","3 bds 3 ba 1,600 sqft"
3595+Santa+Fe+Ave+#+100,"$484,000","4 bds 2 ba 1,687 sqft"
2400+E+5th+St,"$1,300,000","5 bds 4 ba 3,112 sqft"
