,address,price,details,zipcode,lat,lng,zpid,link
60,5505 Ackerfield Ave,"$2,100 2"," bds $2,700 3 bds ",90805,33.856951,-118.163679,2085490021,https://www.zillow.com/homedetails/5505-Ackerfield-Ave-Long-Beach-CA-90805/2085490021_zpid/
61,5371 E 29th St,"$4,995/m","5 bds 3 ba 2,150 sqft",90815,33.809097,-118.12867,21201786,https://www.zillow.com/homedetails/5371-E-29th-St-Long-Beach-CA-90815/21201786_zpid/
62,361 E Peace St # 363,"$1,350/m",1 bd1 ba 600 sqft,90805,33.845659,-118.188414,2081546496,https://www.zillow.com/homedetails/361-E-Peace-St-363-Long-Beach-CA-90805/2081546496_zpid/
63,363 E Peace St # 363,"$1,350/m",1 bd1 ba 600 sqft,90805,33.84549,-118.188524,2081546498,https://www.zillow.com/homedetails/363-E-Peace-St-363-Long-Beach-CA-90805/2081546498_zpid/
64,1334 Bennett Ave,"$2,025/m",2 bds 1 ba 750 sqft,90804,33.783469,-118.142631,2081546544,https://www.zillow.com/homedetails/1334-Bennett-Ave-Long-Beach-CA-90804/2081546544_zpid/
65,1980 E 68th St APT C,"$1,850/m",2 bds 1 ba -- sqft,90805,33.878017,-118.169043,2088917985,https://www.zillow.com/homedetails/1980-E-68th-St-APT-C-Long-Beach-CA-90805/2088917985_zpid/
66,1824 E Appleton St,"$1,595/m","1 bd1 ba 3,572 sqft",90802,33.767861,-118.168875,21238500,https://www.zillow.com/homedetails/1824-E-Appleton-St-Long-Beach-CA-90802/21238500_zpid/
68,715 E 5th St APT 04,"$1,250/m",Studio1 ba 450 sqft,90802,33.77324,-118.183316,2092763248,https://www.zillow.com/homedetails/715-E-5th-St-APT-04-Long-Beach-CA-90802/2092763248_zpid/
69,137 Cherry Ave APT 1,"$1,895/m","1 bd1 ba 1,040 sqft",90802,33.766404,-118.168344,2081546939,https://www.zillow.com/homedetails/137-Cherry-Ave-APT-1-Long-Beach-CA-90802/2081546939_zpid/
70,914 N Loma Vista Dr APT D,"$1,350/m",1 bd1 ba 530 sqft,90813,33.777662,-118.203082,2097206503,https://www.zillow.com/homedetails/914-N-Loma-Vista-Dr-APT-D-Long-Beach-CA-90813/2097206503_zpid/
71,335 Cedar Ave UNIT 407,"$1,500/m",1 bd1 ba 525 sqft,90802,33.771325,-118.195433,21240060,https://www.zillow.com/homedetails/335-Cedar-Ave-UNIT-407-Long-Beach-CA-90802/21240060_zpid/
