,address,price,details,zipcode,latitude,longitude,zpid,link
64,2225 E 2nd St APT 2,"$295,000",1 bd1 ba 524 sqft,90803,33.766328,-118.164495,21230938,https://www.zillow.com/homedetails/2225-E-2nd-St-APT-2-Long-Beach-CA-90803/21230938_zpid/
65,2674 Delta Ave,"$409,946","3 bds 1 ba 1,392 sqft",90810,33.805834,-118.210777,21247574,https://www.zillow.com/homedetails/2674-Delta-Ave-Long-Beach-CA-90810/21247574_zpid/
66,2195 Santa Fe Ave,"$629,000","4 bds 3 ba 1,559 sqft",90810,33.796926,-118.215599,2089013412,https://www.zillow.com/homedetails/2195-Santa-Fe-Ave-Long-Beach-CA-90810/2089013412_zpid/
67,5277 E Ocean Blvd,"$2,790,000","4 bds 3 ba 3,000 sqft",90803,33.755448,-118.135767,21219522,https://www.zillow.com/homedetails/5277-E-Ocean-Blvd-Long-Beach-CA-90803/21219522_zpid/
68,300 Moonstone,"$1,997,500","4 bds 3 ba 2,531 sqft",90803,33.764712,-118.123651,21215451,https://www.zillow.com/homedetails/300-Moonstone-Long-Beach-CA-90803/21215451_zpid/
69,332 W 8th St,"$659,000","4 bds 2 ba 1,712 sqft",90813,33.776352,-118.195909,21236170,https://www.zillow.com/homedetails/332-W-8th-St-Long-Beach-CA-90813/21236170_zpid/
70,437 Obispo Ave,"$849,000","2 bds 1 ba 1,484 sqft",90814,33.772466,-118.154849,21225031,https://www.zillow.com/homedetails/437-Obispo-Ave-Long-Beach-CA-90814/21225031_zpid/
71,311 Flint Ave,"$1,188,000","3 bds 3 ba 2,588 sqft",90814,33.768506,-118.123378,60296158,https://www.zillow.com/homedetails/311-Flint-Ave-Long-Beach-CA-90814/60296158_zpid/
72,6726 Harbor Ave,"$454,900",3 bds 1 ba 884 sqft,90805,33.876465,-118.206923,21243497,https://www.zillow.com/homedetails/6726-Harbor-Ave-Long-Beach-CA-90805/21243497_zpid/
73,122 Elm Ave APT 1,"$429,900",2 bds 2 ba 850 sqft,90802,33.768534,-118.18737,121306783,https://www.zillow.com/homedetails/122-Elm-Ave-APT-1-Long-Beach-CA-90802/121306783_zpid/
74,4201 E Ransom St,"$660,000","3 bds 3 ba 4,560 sqft",90804,33.786939,-118.143628,21221916,https://www.zillow.com/homedetails/4201-E-Ransom-St-Long-Beach-CA-90804/21221916_zpid/
75,723 Elm Ave APT J,"$270,000",2 bds 1 ba 796 sqft,90813,33.775791,-118.188043,21236994,https://www.zillow.com/homedetails/723-Elm-Ave-APT-J-Long-Beach-CA-90813/21236994_zpid/
76,2032 E Bermuda St UNIT 105,"$505,900","2 bds 2 ba 1,333 sqft",90814,33.769618,-118.166806,21229118,https://www.zillow.com/homedetails/2032-E-Bermuda-St-UNIT-105-Long-Beach-CA-90814/21229118_zpid/
77,3401 E Wilton St UNIT 307,"$415,000",2 bds 2 ba 841 sqft,90804,33.787843,-118.152049,21226467,https://www.zillow.com/homedetails/3401-E-Wilton-St-UNIT-307-Long-Beach-CA-90804/21226467_zpid/
